ORACLE_TABLE_ID,ORACLE_COL_NAME,ORACLE_COL_DESCRIPTION,ORACLE_DATATYPE
57856.0,TP_REVENUE_OUT,The transfer-price revenue out of budget line,N
57856.0,UNASSIGNED_TIME_COST,The unassigned time cost of budget line,N
57856.0,UTILIZATION_ADJ,The utilization percent adjustment of budget line,N
57856.0,UTILIZATION_HOURS,The utilization hours of budget line,N
57856.0,UTILIZATION_PERCENT,The utilization percent of budget line,N
57858.0,CURRENT_WORKING_FLAG,Indicates that this is the current working version of the financial plan,V
57858.0,FIN_PLAN_TYPE_ID,The identifier of financial plan type,N
57858.0,PARENT_PLAN_VERSION_ID,The identifier of the parent plan version. Applicable only for Organization forecast versions belonging to Sub-organizations.,N
57858.0,PERIOD_PROFILE_ID,The identifier of the period profile that is used for the plan version,N
57858.0,PLAN_PROCESSING_CODE,This column applies to Project Forecasting.  Indicates the  process status of forecast generation.,V
57858.0,PROJECT_STRUCTURE_VERSION_ID,The identifier of the project structure version. Applicable only if the version is in the context of an organization project or workplan version.,N
57858.0,RECORD_VERSION_NUMBER,Internally generated number used for record locking,N
57858.0,REQUEST_ID,The concurrent request id of the budget version being processed,N
57858.0,TOTAL_BORROWED_REVENUE,The total borrowed revenue of the financial plan,N
57858.0,TOTAL_CAPACITY,The total capacity of financial plan.,N
57858.0,TOTAL_COST_ADJ,The total cost adjustment of financial plan,N
57858.0,TOTAL_HEAD_COUNT,The total head count of financial plan.,N
57858.0,TOTAL_HEAD_COUNT_ADJ,The total head count adjustment of financial plan,N
57858.0,TOTAL_LENT_RESOURCE_COST,The total lent resource cost of financial plan.,N
57858.0,TOTAL_REVENUE_ADJ,The total revenue adjustment of financial plan.,N
57858.0,TOTAL_TP_COST_IN,The total transfer-price cost in of financial plan,N
57858.0,TOTAL_TP_COST_OUT,The total transfer-price cost out of financial plan.,N
57858.0,TOTAL_TP_REVENUE_IN,The total transfer-price revenue in of financial plan.,N
57858.0,TOTAL_TP_REVENUE_OUT,The total transfer-price revenue out of financial plan.,N
57858.0,TOTAL_UNASSIGNED_TIME_COST,The total unassigned time cost of financial plan,N
57858.0,TOTAL_UTILIZATION_ADJ,The Total utilization percent adjustment of financial plan.,N
57858.0,TOTAL_UTILIZATION_HOURS,The total utilization hours of financial plan.,N
57858.0,TOTAL_UTILIZATION_PERCENT,The total utilization percent of financial plan,N
57858.0,VERSION_TYPE,"The planning type of the financial plan. Valid values are COST, REVENUE, ALL and ORG_FORECAST",V
57856.0,PROJFUNC_REV_EXCHANGE_RATE,The project functional revenue exchange rate,N
84282.0,SEEDED_FLAG,Flag indicating if this record is seeded.,V
84282.0,SEED_STATUS_UPDATEABLE_FLAG,Flag indicating if the seeded status can be updated.,V
84282.0,SERVICE_ORDER_ALLOWED_FLAG,Flag indicating if a Service Order is allowed.,V
84282.0,START_DATE_ACTIVE,Activation Start Date.,D
84282.0,STATUS_CHANGE_ALLOWED_FLAG,Flag indicating if the Instance status can be updated if the instance is in this status.,V
84282.0,TERMINATED_FLAG,Flag indicating if the status denotes that an Instance is terminated.,V
53977.0,VENDOR_INVOICE_GROUPING_CODE,Flag that indicates group/ungroup supplier invoices and interface supplier invoices as NEW or MERGED mass additions,V
57856.0,ATTRIBUTE1,Descriptive flexfield segment,V
50703.0,DDF_CONTEXT,Developer descriptive flexfield structure defining column,V
50703.0,DESCRIPTION,Description,V
50703.0,ESTIMATED_ENG_COST,Estimated engineering implementation cost,N
50703.0,ESTIMATED_MFG_COST,Estimated manufacturing implementation cost,N
50703.0,IMPLEMENTATION_DATE,Implementation date of the entire ECO,D
50703.0,INITIATION_DATE,Creation date of the ECO,D
50703.0,LAST_UPDATED_BY,Standard Who column,N
50703.0,LAST_UPDATE_DATE,Standard Who column,D
50703.0,LAST_UPDATE_LOGIN,Standard Who column,N
50703.0,ORGANIZATION_ID,Organization identifier,N
50703.0,PRIORITY_CODE,Priority code,V
50703.0,PROGRAM_APPLICATION_ID,Concurrent Who column,N
50703.0,PROGRAM_ID,Concurrent Who column,N
50703.0,PROGRAM_UPDATE_DATE,Concurrent Who column,D
50703.0,REASON_CODE,Reason code,V
50703.0,REQUESTOR_ID,Identifier of the employee who requested this ECO,N
50703.0,REQUEST_ID,Concurrent Who column,N
50703.0,RESPONSIBLE_ORGANIZATION_ID,ECO department identifier,N
50703.0,STATUS_TYPE,Engineering change order status,N
70631.0,PENALTY_FIXED_AMOUNT,The penalty will be a flat fee applied to the late charge. Used when penalty type is fixed amount.,N
70631.0,PENALTY_RATE,The penalty will be calculated as a fixed percentage of the late charge. Used when penalty type is  percentage.,N
70631.0,PENALTY_SCHEDULE_ID,Charge based on a tiered schedule. Used when penalty type is charges schedule. Foreign key to AR_CHARGES_SCHEDULES.SCHEDULE_ID,N
70631.0,PENALTY_TYPE,"Refers to any additional penalties to be added to late charges. Can be a fixed amount, a percentage or based on a charges schedule.  Validated against lookup type AR_INTEREST_PENALTY_TYPE.",V
69775.0,WF_ITEM_TYPE,Approval workflow item type,V
78676.0,GLOBAL_ATTRIBUTE19,Reserved for country-specific functionality,V
78676.0,GLOBAL_ATTRIBUTE20,Reserved for country-specific functionality,V
78676.0,GLOBAL_ATTRIBUTE_CATEGORY,Reserved for country-specific functionality,V
78676.0,CONS_INV_FLAG,"Indicates if balance forward bill is generated and sent to customer. Y for yes, N or null",V
78676.0,CONS_INV_TYPE,"Format of balance forward bill. SUMMARY, DETAIL, or IMPORTED. Validated against HZ_CONS_INV_TYPE lookup type",V
78676.0,AUTOCASH_HIERARCHY_ID_FOR_ADR,Identifies AutoCash rule set for unapplied amount in Post QuickCash,N
78676.0,LOCKBOX_MATCHING_OPTION,"Lockbox matching option (typically INVOICE, SALES_ORDER, PURCHASE_ORDER)",V
78676.0,INTEREST_PERIOD_DAYS,Number of days that the interest rate refers to,N
78676.0,DISCOUNT_GRACE_DAYS,Number of days after discount term date that this customer can take discounts,N
78676.0,STATEMENT_CYCLE_ID,Identifier of the statement cycle associated with this customer profile,N
78676.0,ACCOUNT_STATUS,User-defined account status,V
78676.0,PERCENT_COLLECTABLE,Percentage of this customer's account balance that you expect to collect on a regular basis,N
78676.0,AUTOCASH_HIERARCHY_ID,Identifier of the autocash hierarchy associated with this customer profile,N
78676.0,ATTRIBUTE_CATEGORY,Descriptive flexfield structure definition column.,V
78676.0,ATTRIBUTE1,Descriptive flexfield segment,V
78676.0,ATTRIBUTE2,Descriptive flexfield segment,V
78676.0,ATTRIBUTE3,Descriptive flexfield segment,V
78676.0,ATTRIBUTE4,Descriptive flexfield segment,V
78676.0,ATTRIBUTE5,Descriptive flexfield segment,V
78676.0,ATTRIBUTE6,Descriptive flexfield segment,V
78676.0,ATTRIBUTE7,Descriptive flexfield segment,V
78676.0,ATTRIBUTE8,Descriptive flexfield segment,V
78676.0,ATTRIBUTE9,Descriptive flexfield segment,V
78676.0,ATTRIBUTE10,Descriptive flexfield segment,V
78676.0,PROGRAM_ID,Concurrent Program who column - program id of the program that last updated this row (foreign key to FND_CONCURRENT_PROGRAM.CONCURRENT_PROGRAM_ID).,N
78676.0,REQUEST_ID,Concurrent Program who column - concurrent request id of the program that last updated this row (foreign key to FND_CONCURRENT_REQUESTS.REQUEST_ID).,N
78676.0,WH_UPDATE_DATE,Date when the record was entered or changed in a data warehouse,D
78676.0,ATTRIBUTE11,Descriptive flexfield segment,V
78676.0,ATTRIBUTE12,Descriptive flexfield segment,V
78676.0,ATTRIBUTE13,Descriptive flexfield segment,V
78676.0,ATTRIBUTE14,Descriptive flexfield segment,V
78676.0,ATTRIBUTE15,Descriptive flexfield segment,V
78676.0,AUTO_REC_INCL_DISPUTED_FLAG,"Indicates if disputed transactions are included. Y for including disputed transactions, N for not excluding disputed transactions.",V
78676.0,CHARGE_ON_FINANCE_CHARGE_FLAG,"Formula used to compute late charges.Possible values are simple, compound or flat rate. Validated against lookup type AR_FORMULAE.",V
78676.0,GROUPING_RULE_ID,Identifies the default invoice line grouping rule for the customer,N
78676.0,CLEARING_DAYS,This column is used to specify a value for the number of clearing days before receipts that belong to this customer (or site) can be cleared by the Automatic Clearing program.  This overrides the value of the payment method / bank account.,N
78676.0,JGZZ_ATTRIBUTE_CATEGORY,JG Descriptive Flexfield,V
78676.0,JGZZ_ATTRIBUTE1,JG Descriptive Flexfield,V
78676.0,JGZZ_ATTRIBUTE2,JG Descriptive Flexfield,V
78676.0,JGZZ_ATTRIBUTE3,JG Descriptive Flexfield,V
78676.0,JGZZ_ATTRIBUTE4,JG Descriptive Flexfield,V
78676.0,JGZZ_ATTRIBUTE5,JG Descriptive Flexfield,V
78676.0,JGZZ_ATTRIBUTE7,JG Descriptive Flexfield,V
78676.0,JGZZ_ATTRIBUTE8,JG Descriptive Flexfield,V
78676.0,JGZZ_ATTRIBUTE9,JG Descriptive Flexfield,V
78676.0,JGZZ_ATTRIBUTE10,JG Descriptive Flexfield,V
78676.0,JGZZ_ATTRIBUTE11,JG Descriptive Flexfield,V
78676.0,JGZZ_ATTRIBUTE12,JG Descriptive Flexfield,V
78676.0,JGZZ_ATTRIBUTE13,JG Descriptive Flexfield,V
78676.0,JGZZ_ATTRIBUTE14,JG Descriptive Flexfield,V
78676.0,JGZZ_ATTRIBUTE15,JG Descriptive Flexfield,V
78676.0,GLOBAL_ATTRIBUTE1,Reserved for country-specific functionality,V
78676.0,GLOBAL_ATTRIBUTE2,Reserved for country-specific functionality,V
78676.0,GLOBAL_ATTRIBUTE3,Reserved for country-specific functionality,V
78676.0,GLOBAL_ATTRIBUTE4,Reserved for country-specific functionality,V
78676.0,GLOBAL_ATTRIBUTE5,Reserved for country-specific functionality,V
78676.0,GLOBAL_ATTRIBUTE6,Reserved for country-specific functionality,V
78676.0,GLOBAL_ATTRIBUTE7,Reserved for country-specific functionality,V
78676.0,GLOBAL_ATTRIBUTE8,Reserved for country-specific functionality,V
78676.0,GLOBAL_ATTRIBUTE9,Reserved for country-specific functionality,V
78676.0,GLOBAL_ATTRIBUTE10,Reserved for country-specific functionality,V
78670.0,GLOBAL_ATTRIBUTE9,Not currently used,V
78670.0,GLOBAL_ATTRIBUTE10,Not currently used,V
78670.0,GLOBAL_ATTRIBUTE11,Not currently used,V
78670.0,GLOBAL_ATTRIBUTE12,Not currently used,V
78670.0,GLOBAL_ATTRIBUTE13,Not currently used,V
78670.0,GLOBAL_ATTRIBUTE14,Not currently used,V
78670.0,GLOBAL_ATTRIBUTE15,Not currently used,V
78670.0,GLOBAL_ATTRIBUTE16,Not currently used,V
78670.0,GLOBAL_ATTRIBUTE17,Not currently used,V
78670.0,GLOBAL_ATTRIBUTE18,Not currently used,V
78670.0,GLOBAL_ATTRIBUTE19,Not currently used,V
78670.0,GLOBAL_ATTRIBUTE20,Not currently used,V
78670.0,ORIG_SYSTEM_REFERENCE,Address identifier from foreign system,V
78670.0,COUNTRY,Country code from the TERRITORY_CODE column in the FND_TERRITORY table,V
78670.0,ADDRESS1,First line for address,V
78670.0,ADDRESS2,Second line for address,V
78670.0,ADDRESS3,Third line for address,V
78670.0,ADDRESS4,Fourth line for address,V
78670.0,POSTAL_CODE,Postal code,V
78670.0,STATE,State,V
78670.0,PROVINCE,Province,V
78670.0,COUNTY,County,V
78670.0,ADDRESS_KEY,Derived key that factilitates fuzzy searches,V
78670.0,ADDRESS_STYLE,"Used as context value for Flexible Address Format descriptive flexfield. Do not use this column, join to the FND_TERRITORIES table via COUNTRY = TERRITORY_CODE to retrieve the address style for the country.",V
78670.0,ADDRESS_LINES_PHONETIC,Phonetic or Kana representation of the Kanji address lines (used in Japan),V
78670.0,APARTMENT_FLAG,No longer used,V
78670.0,PO_BOX_NUMBER,No longer used,V
78670.0,HOUSE_NUMBER,No longer used,V
78670.0,APARTMENT_NUMBER,No longer used,V
78670.0,SECONDARY_SUFFIX_ELEMENT,No longer used,V
78670.0,STREET,No longer used,V
78670.0,BUILDING,No longer used,V
78670.0,FLOOR,No longer used,V
78670.0,SUITE,No longer used,V
78670.0,ROOM,No longer used,V
78670.0,TIME_ZONE,No longer used,V
78670.0,POST_OFFICE,No longer used,V
78670.0,POSITION,The primary direction such as North or East that is used to access the location.,V
78670.0,DELIVERY_POINT_CODE,No longer used,V
78670.0,LOCATION_DIRECTIONS,Directions to the location,V
78670.0,ADDRESS_EFFECTIVE_DATE,Date when the location is valid.,D
78670.0,ADDRESS_EXPIRATION_DATE,Date when the location is no longer valid,D
78670.0,ADDRESS_ERROR_CODE,No longer used,V
78670.0,CLLI_CODE,Common Language Location Identifier (CLLI) code,V
78670.0,DODAAC,No longer used,V
78670.0,TRAILING_DIRECTORY_CODE,No longer used,V
78670.0,LANGUAGE,Operating language of the location. Foreign key to the FND_LANGUAGES table,V
78670.0,LIFE_CYCLE_STATUS,No longer used,V
78670.0,SHORT_DESCRIPTION,Short description of the location,V
78670.0,DESCRIPTION,An extensive description of the location,V
78670.0,CONTENT_SOURCE_TYPE,Source of data content.,V
78670.0,LOC_HIERARCHY_ID,Location hierarchy identifier. Foreign key to the JTF_LOC_HIERARCHIES_B table,N
78670.0,SALES_TAX_GEOCODE,US Sales Tax Jurisdiction code. Use this field to provide a Jurisdiction Code (also called as Geocode) defined by wither Vertex or Taxware. This value is passed as a ship-to locaiton jurisdiction code to the tax partner API.,V
78670.0,SALES_TAX_INSIDE_CITY_LIMITS,Indicates if the location is inside the boundary of a city. Used to calculate state and local taxes in the United States. Value '1' is for locations inside the city limits and '0' is for locations outside the city limits. Defaults to null i,V
78670.0,FA_LOCATION_ID,Foreign key to the FA_LOCATIONS table,N
78670.0,LOCATION_ID,Unique identifier for this location,N
78670.0,LAST_UPDATE_DATE,Standard Who column - date when a user last updated this row.,D
78670.0,LAST_UPDATED_BY,Standard who column - user who last updated this row (foreign key to FND_USER.USER_ID).,N
78670.0,CREATION_DATE,Standard who column - date when this row was created.,D
78670.0,CREATED_BY,Standard who column - user who created this row (foreign key to FND_USER.USER_ID).,N
78670.0,LAST_UPDATE_LOGIN,Standard who column - operating system login of user who last updated this row (foreign key to FND_LOGINS.LOGIN_ID).,N
78670.0,REQUEST_ID,Concurrent Program who column - concurrent request id of the program that last updated this row (foreign key to FND_CONCURRENT_REQUESTS.REQUEST_ID).,N
78670.0,PROGRAM_APPLICATION_ID,Concurrent Program who column - application id of the program that last updated this row (foreign key to FND_APPLICATION.APPLICATION_ID).,N
78670.0,PROGRAM_ID,Concurrent Program who column - program id of the program that last updated this row (foreign key to FND_CONCURRENT_PROGRAM.CONCURRENT_PROGRAM_ID).,N
78670.0,PROGRAM_UPDATE_DATE,Concurrent Program who column - date when a program last updated this row).,D
78670.0,WH_UPDATE_DATE,No longer used,D
78670.0,ATTRIBUTE_CATEGORY,Descriptive flexfield structure definition column.,V
78670.0,ATTRIBUTE1,Descriptive flexfield segment,V
78670.0,ATTRIBUTE2,Descriptive flexfield segment,V
78670.0,ATTRIBUTE3,Descriptive flexfield segment,V
78670.0,ATTRIBUTE4,Descriptive flexfield segment,V
78670.0,ATTRIBUTE5,Descriptive flexfield segment,V
78670.0,ATTRIBUTE6,Descriptive flexfield segment,V
78670.0,ATTRIBUTE7,Descriptive flexfield segment,V
78670.0,ATTRIBUTE8,Descriptive flexfield segment,V
78670.0,ATTRIBUTE9,Descriptive flexfield segment,V
78670.0,ATTRIBUTE10,Descriptive flexfield segment,V
50671.0,ATTRIBUTE13,Descriptive flexfield segment,V
50671.0,ATTRIBUTE14,Descriptive flexfield segment,V
50671.0,ATTRIBUTE15,Descriptive flexfield segment,V
50671.0,ATTRIBUTE2,Descriptive flexfield segment,V
50671.0,ATTRIBUTE3,Descriptive flexfield segment,V
50671.0,ATTRIBUTE4,Descriptive flexfield segment,V
50671.0,ATTRIBUTE5,Descriptive flexfield segment,V
50671.0,ATTRIBUTE6,Descriptive flexfield segment,V
50671.0,ATTRIBUTE7,Descriptive flexfield segment,V
50671.0,ATTRIBUTE8,Descriptive flexfield segment,V
50671.0,ATTRIBUTE9,Descriptive flexfield segment,V
50671.0,ATTRIBUTE_CATEGORY,Descriptive flexfield structure definition column.,V
50671.0,CANCELLED_BY,Unique identifier of the employee who cancelled the line. (References HR_EMPLOYEES.employee_id.),N
50671.0,CANCEL_DATE,Cancellation date,D
50671.0,CANCEL_FLAG,Indicates whether the line is cancelled or not,V
50671.0,CANCEL_REASON,Cancellation reason provided by employee,V
50671.0,CAPITAL_EXPENSE_FLAG,Indicates whether the line is for a capital expense or not,V
50671.0,CATEGORY_ID,Item category unique identifier. (References MTL_CATEGORIES_B.category_id.),N
57856.0,DESCRIPTION,The description of the budget line,V
57856.0,END_DATE,The end date of the budget line,D
57856.0,LAST_UPDATED_BY,Standard who column,N
57856.0,LAST_UPDATE_DATE,Standard who column,D
57856.0,LAST_UPDATE_LOGIN,Standard who column,N
57856.0,PERIOD_NAME,The period of the budget line,V
57856.0,QUANTITY,The quantity of the budget line,N
52593.0,GLOBAL_ATTRIBUTE1,Reserved For Globalization Functionality,V
52593.0,GLOBAL_ATTRIBUTE10,Reserved For Globalization Functionality,V
52593.0,GLOBAL_ATTRIBUTE13,Reserved For Globalization Functionality,V
52593.0,GLOBAL_ATTRIBUTE14,Reserved For Globalization Functionality,V
52593.0,GLOBAL_ATTRIBUTE15,Reserved For Globalization Functionality,V
52593.0,GLOBAL_ATTRIBUTE16,Reserved For Globalization Functionality,V
52593.0,GLOBAL_ATTRIBUTE17,Reserved For Globalization Functionality,V
52593.0,GLOBAL_ATTRIBUTE18,Reserved For Globalization Functionality,V
52593.0,GLOBAL_ATTRIBUTE19,Reserved For Globalization Functionality,V
52593.0,GLOBAL_ATTRIBUTE2,Reserved For Globalization Functionality,V
52593.0,GLOBAL_ATTRIBUTE20,Reserved For Globalization Functionality,V
52593.0,GLOBAL_ATTRIBUTE4,Reserved For Globalization Functionality,V
52593.0,GLOBAL_ATTRIBUTE5,Reserved For Globalization Functionality,V
52593.0,GLOBAL_ATTRIBUTE6,Reserved For Globalization Functionality,V
52593.0,GLOBAL_ATTRIBUTE7,Reserved For Globalization Functionality,V
52593.0,GLOBAL_ATTRIBUTE8,Reserved For Globalization Functionality,V
52593.0,GLOBAL_ATTRIBUTE9,Reserved For Globalization Functionality,V
52593.0,GLOBAL_ATTRIBUTE_CATEGORY,Reserved For Globalization Functionality,V
52593.0,TAX_CLASSIFICATION,Controls the classification of the bill to site. Using this field you can control which codes are used out of a tax group. Foreign key into ar_lookups (AR_TAX_CLASSIFICATION) used in ar_vat_tax (TAX_CLASSIFICATION).,V
52593.0,TAX_HEADER_LEVEL_FLAG,Used By Oracle Sales Compensation,V
52593.0,TAX_ROUNDING_RULE,Tax Rounding Rule: Override System and Customer Tax Rounding Rule,V
52593.0,WH_UPDATE_DATE,Date Sent to Data Warehouse,D
69780.0,AGENT_RETURN_FLAG,Unused since release 7.0,V
69780.0,AGENT_RETURN_NOTE,Unused since release 7.0,V
69780.0,ATTRIBUTE1,Descriptive flexfield segment,V
69780.0,ATTRIBUTE10,Descriptive flexfield segment,V
69780.0,ATTRIBUTE11,Descriptive flexfield segment,V
69780.0,ATTRIBUTE12,Descriptive flexfield segment,V
69780.0,ATTRIBUTE13,Descriptive flexfield segment,V
69780.0,ATTRIBUTE14,Descriptive flexfield segment,V
69780.0,ATTRIBUTE15,Descriptive flexfield segment,V
69780.0,ATTRIBUTE2,Descriptive flexfield segment,V
69780.0,ATTRIBUTE3,Descriptive flexfield segment,V
69780.0,ATTRIBUTE4,Descriptive flexfield segment,V
69780.0,ATTRIBUTE5,Descriptive flexfield segment,V
69780.0,ATTRIBUTE6,Descriptive flexfield segment,V
69780.0,ATTRIBUTE7,Descriptive flexfield segment,V
69780.0,ATTRIBUTE8,Descriptive flexfield segment,V
69780.0,ATTRIBUTE9,Descriptive flexfield segment,V
69780.0,ATTRIBUTE_CATEGORY,Descriptive flexfield structure definition column.,V
69780.0,AUTHORIZATION_STATUS,Authorization status type,V
69780.0,CANCEL_FLAG,Unused since release 7.0,V
69780.0,CLOSED_CODE,Close status,V
69780.0,CREATED_BY,Standard who column - user who created this row (foreign key to FND_USER.USER_ID).,N
69780.0,CREATION_DATE,Standard who column - date when this row was created.,D
69780.0,DESCRIPTION,Description for requisition,V
69780.0,ENABLED_FLAG,Key flexfield enabled flag,V
69780.0,END_DATE_ACTIVE,Key flexfield end date,D
69780.0,GOVERNMENT_CONTEXT,USSGL descriptive flexfield context column,V
69780.0,INTERFACE_SOURCE_CODE,Source of requisition from Requisition Import,V
69780.0,INTERFACE_SOURCE_LINE_ID,Source requisition line identifier from Requisition Import,N
69780.0,LAST_UPDATED_BY,Standard who column - user who last updated this row (foreign key to FND_USER.USER_ID).,N
69780.0,LAST_UPDATE_DATE,Standard Who column - date when a user last updated this row.,D
69780.0,LAST_UPDATE_LOGIN,Standard who column - operating system login of user who last updated this row (foreign key to FND_LOGINS.LOGIN_ID).,N
69780.0,NOTE_TO_AUTHORIZER,Note to approver (Unused since release 8.0),V
69780.0,ON_LINE_FLAG,Unused since release 7.0,V
69780.0,ORG_ID,Organization identifier,N
69780.0,PRELIMINARY_RESEARCH_FLAG,Unused since release 7.0,V
69780.0,PREPARER_FINISHED_DATE,Unused since release 7.0,D
69780.0,PREPARER_FINISHED_FLAG,Unused since release 7.0,V
69780.0,PREPARER_ID,Unique identifier of the employee who prepared the requisition,N
69780.0,PROGRAM_APPLICATION_ID,Concurrent Program who column - application id of the program that last updated this row (foreign key to FND_APPLICATION.APPLICATION_ID).,N
69780.0,PROGRAM_ID,Concurrent Program who column - program id of the program that last updated this row (foreign key to FND_CONCURRENT_PROGRAM.CONCURRENT_PROGRAM_ID).,N
78671.0,GLOBAL_ATTRIBUTE2,Reserved for country-specific functionality,V
78671.0,GLOBAL_ATTRIBUTE3,Reserved for country-specific functionality,V
78671.0,GLOBAL_ATTRIBUTE4,Reserved for country-specific functionality,V
78671.0,GLOBAL_ATTRIBUTE5,Reserved for country-specific functionality,V
78671.0,GLOBAL_ATTRIBUTE6,Reserved for country-specific functionality,V
78671.0,GLOBAL_ATTRIBUTE7,Reserved for country-specific functionality,V
78671.0,GLOBAL_ATTRIBUTE8,Reserved for country-specific functionality,V
78671.0,GLOBAL_ATTRIBUTE9,Reserved for country-specific functionality,V
78671.0,GLOBAL_ATTRIBUTE10,Reserved for country-specific functionality,V
78671.0,GLOBAL_ATTRIBUTE11,Reserved for country-specific functionality,V
78671.0,GLOBAL_ATTRIBUTE12,Reserved for country-specific functionality,V
78671.0,GLOBAL_ATTRIBUTE13,Reserved for country-specific functionality,V
78671.0,GLOBAL_ATTRIBUTE14,Reserved for country-specific functionality,V
78671.0,GLOBAL_ATTRIBUTE15,Reserved for country-specific functionality,V
78671.0,GLOBAL_ATTRIBUTE16,Reserved for country-specific functionality,V
78671.0,GLOBAL_ATTRIBUTE17,Reserved for country-specific functionality,V
78671.0,GLOBAL_ATTRIBUTE18,Reserved for country-specific functionality,V
78671.0,GLOBAL_ATTRIBUTE19,Reserved for country-specific functionality,V
78671.0,GLOBAL_ATTRIBUTE20,Reserved for country-specific functionality,V
78671.0,STATUS,Customer status flag.  Lookup code for CODE_STATUS,V
78671.0,CUSTOMER_TYPE,"Receivables lookup code for the CUSTOMER_TYPE attribute. I for internal customers, R for revenue generating external customers.",V
78671.0,CUSTOMER_CLASS_CODE,Customer class indentifier,V
78671.0,PRIMARY_SALESREP_ID,No longer used,N
78671.0,SHIP_PARTIAL,No longer used,V
78671.0,SHIP_VIA,The name of the preferred ship method.,V
78671.0,WAREHOUSE_ID,Warehouse identifier,N
78671.0,PAYMENT_TERM_ID,No longer used,N
78671.0,TAX_HEADER_LEVEL_FLAG,"Indicate if item is tax header or a line item. Y for records that are headers for tax purposes, N for records that are lines.",V
78671.0,TAX_ROUNDING_RULE,Tax amount rounding rule,V
78671.0,COTERMINATE_DAY_MONTH,Identifies the date when services ordered by the customer will end. Values for this column will take the form DD-MON.,V
78671.0,ACCOUNT_LIABLE_FLAG,No longer used,V
78671.0,RESTRICTION_LIMIT_AMOUNT,No longer used,N
78671.0,CURRENT_BALANCE,No longer used,N
78671.0,PASSWORD_TEXT,No longer used,V
78671.0,HIGH_PRIORITY_INDICATOR,No longer used,V
78671.0,ACCOUNT_ESTABLISHED_DATE,Date when the customer account was originally established through either an Oracle Application or a legacy system,D
78671.0,ACCOUNT_TERMINATION_DATE,No longer used,D
78671.0,ACCOUNT_ACTIVATION_DATE,No longer used,D
78671.0,CREDIT_CLASSIFICATION_CODE,No longer used,V
78671.0,DEPARTMENT,No longer used,V
78671.0,MAJOR_ACCOUNT_NUMBER,No longer used,V
78671.0,HOTWATCH_SVC_BAL_IND,No longer used,V
78671.0,HELD_BILL_EXPIRATION_DATE,Held bill expiration date,D
78671.0,HOLD_BILL_FLAG,"Indicates if the bill receivable should be held or not. Y for holding the bill, N for bills receivable should not be held.",V
78671.0,HIGH_PRIORITY_REMARKS,No longer used,V
78671.0,PO_EFFECTIVE_DATE,No longer used,D
78671.0,REALTIME_RATE_FLAG,No longer used,V
78671.0,WATCH_ACCOUNT_FLAG,No longer used,V
78671.0,GEO_CODE,No longer used,V
78671.0,ACCT_LIFE_CYCLE_STATUS,No longer used,V
78671.0,ACCOUNT_NAME,Description chosen by external party (but can be entered internally on behalf on the customer),V
78671.0,DEPOSIT_REFUND_METHOD,Refund Method,V
78671.0,DORMANT_ACCOUNT_FLAG,No longer used,V
78671.0,SUSPENSION_DATE,No longer used,D
78671.0,WRITE_OFF_AMOUNT,No longer used,N
78671.0,SOURCE_CODE,Promotion that was used to make the party a customer,V
51855.0,ATTRIBUTE1,Descriptive Flexfield segment,V
51855.0,ATTRIBUTE10,Descriptive Flexfield segment,V
51855.0,ATTRIBUTE11,Descriptive Flexfield segment,V
51855.0,ATTRIBUTE12,Descriptive Flexfield segment,V
51855.0,ATTRIBUTE13,Descriptive Flexfield segment,V
51855.0,ATTRIBUTE14,Descriptive Flexfield segment,V
51855.0,ATTRIBUTE15,Descriptive Flexfield segment,V
51855.0,ATTRIBUTE2,Descriptive Flexfield segment,V
51855.0,ATTRIBUTE3,Descriptive Flexfield segment,V
51855.0,ATTRIBUTE4,Descriptive Flexfield segment,V
51855.0,ATTRIBUTE5,Descriptive Flexfield segment,V
51855.0,ATTRIBUTE6,Descriptive Flexfield segment,V
51855.0,ATTRIBUTE7,Descriptive Flexfield segment,V
51855.0,ATTRIBUTE8,Descriptive Flexfield segment,V
51855.0,ATTRIBUTE9,Descriptive Flexfield segment,V
51855.0,ATTRIBUTE_CATEGORY,Descriptive Flexfield structure defining column,V
51855.0,CLASS_CODE,Accounting class identifier,V
51855.0,CLASS_TYPE,Accounting class type code,N
51855.0,CREATED_BY,Standard Who column,N
51855.0,CREATION_DATE,Standard Who column,D
51855.0,DESCRIPTION,Description of the Account,V
51855.0,DISABLE_DATE,Accounting class disable date,D
51855.0,LAST_UPDATED_BY,Standard Who column,N
51855.0,LAST_UPDATE_DATE,Standard Who column,D
51855.0,LAST_UPDATE_LOGIN,Standard Who column,N
51855.0,MATERIAL_ACCOUNT,General Ledger account to accumulate material charges for a job or schedule,N
51855.0,MATERIAL_OVERHEAD_ACCOUNT,General Ledger account to accumulate material overhead charges for a job or schedule,N
51855.0,MATERIAL_VARIANCE_ACCOUNT,General Ledger account to accumulate material variance charges for a job or schedule,N
51855.0,ORGANIZATION_ID,Organization Identifier,N
51855.0,OUTSIDE_PROCESSING_ACCOUNT,General Ledger account to accumulate outside processing charges for a job or schedule,N
51855.0,OUTSIDE_PROC_VARIANCE_ACCOUNT,General Ledger account to accumulate outside processing variance charges for a job or schedule,N
51855.0,OVERHEAD_ACCOUNT,General Ledger account to accumulate overhead charges for a job or schedule,N
