SAP_TABLE_NAME,SAP_COL_NAME,ROLLNAME,SAP_DATATYPE,SAP_COL_DESCRIPTION
EKPO,GRANT_NBR,GM_GRANT_NBR,CHAR,Grant
EKPO,IDNLF,IDNLF,CHAR,Material Number Used by Vendor
EKPO,INCO1,INCO1,CHAR,Incoterms (Part 1)
EKPO,INCO2,INCO2,CHAR,Incoterms (Part 2)
EKPO,INFNR,INFNR,CHAR,Number of Purchasing Info Record
EKPO,INSMK,INSMK,CHAR,Stock Type
EKPO,INSNC,INSNC,CHAR,Quality inspection indicator cannot be changed
EKPO,IPRKZ,DATTP,CHAR,Period Indicator for Shelf Life Expiration Date
EKPO,IUID_RELEVANT,IUID_RELEVANT,CHAR,IUID-Relevant
EKPO,J_1AIDATEP,J_1AIDATEP,DATS,Inflation Index Date
EKPO,J_1AINDXP,J_1AINDXP,CHAR,Inflation Index
EKPO,J_1BINDUST,J_1BINDUS3,CHAR,Material CFOP category
EKPO,J_1BMATORG,J_1BMATORG,CHAR,Origin of the material
EKPO,J_1BMATUSE,J_1BMATUSE,CHAR,Usage of the material
EKPO,J_1BNBM,J_1BNBMCO1,CHAR,Brazilian NCM Code
EKPO,J_1BOWNPRO,J_1BOWNPRO,CHAR,Produced in-house
EKPO,KANBA,KBNKZ,CHAR,Kanban Indicator
EKPO,KBLNR,KBLNR,CHAR,Document Number for Earmarked Funds
EKPO,KBLPOS,KBLPOS,NUMC,Earmarked Funds: Document Item
EKPO,KNTTP,KNTTP,CHAR,Account Assignment Category
EKPO,KOLIF,KOLIF,CHAR,Prior Vendor
EKPO,KONNR,KONNR,CHAR,Number of Principal Purchase Agreement
EKPO,KO_GSBER,GSBER_GP,CHAR,Business area reported to the partner
EKPO,KO_PARGB,PARGB_GP,CHAR,assumed business area of the business partner
EKPO,KO_PPRCTR,PPRCTR,CHAR,Partner Profit Center
EKPO,KO_PRCTR,PRCTR,CHAR,Profit Center
EKPO,KTMNG,KTMNG,QUAN,Target Quantity
EKPO,KTPNR,KTPNR,NUMC,Item Number of Principal Purchase Agreement
EKPO,KUNNR,EKUNNR,CHAR,Customer
EKPO,KZABS,KZABS,CHAR,Order Acknowledgment Requirement
EKPO,KZBWS,KZBWS,CHAR,Valuation of Special Stock
EKPO,KZFME,KZWSO,CHAR,Units of measure usage
EKPO,KZKFG,KZCUH,CHAR,Origin of Configuration
EKPO,KZSTU,MRPRE,CHAR,Firm/Trade-Off Zones Binding with Regard to Mat. Planning
EKPO,KZTLF,KZTUL,CHAR,Partial Delivery at Item Level (Stock Transfer)
EKPO,KZVBR,KZVBR,CHAR,Consumption Posting
EKPO,KZWI1,KZWI1,CURR,Subtotal 1 from pricing procedure for condition
EKPO,KZWI2,KZWI2,CURR,Subtotal 2 from pricing procedure for condition
EKPO,KZWI3,KZWI3,CURR,Subtotal 3 from pricing procedure for condition
EKPO,KZWI4,KZWI4,CURR,Subtotal 4 from pricing procedure for condition
EKPO,KZWI5,KZWI5,CURR,Subtotal 5 from pricing procedure for condition
EKPO,KZWI6,KZWI6,CURR,Subtotal 6 from pricing procedure for condition
EKPO,LABNR,LABNR,CHAR,Order Acknowledgment Number
EKPO,LBLKZ,LBLKZ,CHAR,Subcontracting vendor
EKPO,LEBRE,LEBRE,CHAR,Indicator for Service-Based Invoice Verification
EKPO,LEWED,LEWED,DATS,Latest Possible Goods Receipt
EKPO,LFRET,LFRET,CHAR,Delivery Type for Returns to Vendors
EKPO,LGORT,LGORT_D,CHAR,Storage Location
EKPO,LMEIN,LAGME,UNIT,Base Unit of Measure
EKPO,LOEKZ,ELOEK,CHAR,Deletion Indicator in Purchasing Document
EKPO,LTSNR,LTSNR,CHAR,Vendor Subrange
EKPO,MAHN1,MAHN1,DEC,Number of Days for First Reminder/Expediter
EKPO,MAHN2,MAHN2,DEC,Number of Days for Second Reminder/Expediter
EKPO,MAHN3,MAHN3,DEC,Number of Days for Third Reminder/Expediter
EKPO,MAHNZ,MAHNZ,DEC,Number of Reminders/Expediters
EKPO,MANDT,MANDT,CLNT,Client
EKPO,MATKL,MATKL,CHAR,Material Group
EKPO,MATNR,MATNR,CHAR,Material Number
EKPO,MEINS,BSTME,UNIT,Purchase Order Unit of Measure
EKPO,MENGE,BSTMG,QUAN,Purchase Order Quantity
EKPO,MEPRF,MEPRF,CHAR,Price Determination (Pricing) Date Control
EKPO,MFRGR,MFRGR,CHAR,Material freight group
EKPO,MFRNR,MFRNR,CHAR,Number of a Manufacturer
EKPO,MFRPN,MFRPN,CHAR,Manufacturer Part Number
EKPO,MFZHI,MFZHI,QUAN,Maximum Cumulative Material Go-Ahead Quantity
EKPO,MHDRZ,MHDRZ,DEC,Minimum Remaining Shelf Life
EKPO,MLMAA,CK_ML_MAAC,CHAR,Material ledger activated at material level
EKPO,MPROF,MPROF,CHAR,Manufacturer Part Profile
EKPO,MTART,MTART,CHAR,Material Type
EKPO,MWSKZ,MWSKZ,CHAR,Sales Tax Code
EKPO,NAVNW,NAVNW,CURR,Non-deductible input tax
EKPO,NETPR,BPREI,CURR,Net Price in Purchasing Document (in Document Currency)
EKPO,NETWR,BWERT,CURR,Net Order Value in PO Currency
EKPO,NFABD,NFABD,DATS,Next JIT Delivery Schedule Transmission
EKPO,NLABD,NLABD,DATS,Next Forecast Delivery Schedule Transmission
EKPO,NOTKZ,NOTKZ,CHAR,Exclusion in Outline Agreement Item with Material Class
EKPO,NOVET,NOVET,CHAR,Item blocked for SD delivery
EKPO,NRFHG,NRFHG,CHAR,Material qualifies for discount in kind
EKPO,NTGEW,ENTGE,QUAN,Net Weight
EKPO,PACKNO,PACKNO,NUMC,Package number
EKPO,PEINH,EPEIN,DEC,Price Unit
EKPO,PLIFZ,EPLIF,DEC,Planned Delivery Time in Days
EKPO,POL_ID,WRF_POHF_POL_ID,CHAR,Order List Item Number
EKPO,PRDAT,PREDT,DATS,Date of Price Determination
EKPO,PRIO_REQ,PRIO_REQ,NUMC,Requirement Priority
EKPO,PRIO_URG,PRIO_URG,NUMC,Requirement Urgency
EKPO,PRSDR,PRSDR,CHAR,Price Printout
EKPO,PSTYP,PSTYP,CHAR,Item Category in Purchasing Document
EKPO,PUNEI,PUNEI,UNIT,Points unit
EKPO,PUT_BACK,WRF_POHF_PUT_BACK_POG,CHAR,Indicator for Putting Back from Grouped PO Document
EKPO,RDPRF,RDPRF,CHAR,Rounding Profile
EKPO,REASON_CODE,/SAPPSPRO/_GR_REASON_CODE,CHAR,Goods Receipt Reason Code
EKPO,REFSITE,WREFSITE,CHAR,Reference Site For Purchasing
EKPO,REF_ITEM,WRF_PSCD_REF_ITEM,NUMC,Reference Item for Remaining Qty Cancellation
EKPO,REPOS,REPOS,CHAR,Invoice Receipt Indicator
EKPO,RESLO,RESLO,CHAR,Issuing Storage Location for Stock Transport Order
EKPO,RETPO,RETPO,CHAR,Returns Item
EKPO,REVLV,REVLV,CHAR,Revision Level
EKPO,SAISJ,SAISJ,CHAR,Season Year
EKPO,SAISO,SAISO,CHAR,Season Category
EKPO,SATNR,SATNR,CHAR,Cross-Plant Configurable Material
EKPO,SCHPR,SCHPR,CHAR,Indicator: Estimated Price
EKPO,SIKGR,SIKGR,CHAR,Processing key for sub-items
EKPO,SKTOF,ESKTOF,CHAR,Item Does Not Qualify for Cash Discount
EKPO,SOBKZ,SOBKZ,CHAR,Special Stock Indicator
EKPO,SOURCE_ID,WRF_POHF_SOURCE_ID,CHAR,Origin Profile
EKPO,SOURCE_KEY,WRF_POHF_SOURCE_KEY,CHAR,Key in Source System
EKPO,SPE_ABGRU,ABGRU,CHAR,Reason for rejection of quotations and sales orders
EKPO,SPE_CHNG_SYS,/SPE/INB_CHNG_SYS,CHAR,Last Changer's System Type
EKPO,SPE_CQ_CTRLTYPE,/SPE/CQ_CONTROL_TYPE,CHAR,CQ Control Type
EKPO,SPE_CQ_NOCQ,/SPE/CQ_NOCQ,CHAR,No Transmission of Cumulative Quantities in SA Release
EKPO,SPE_CRM_REF_ITEM,/SPE/REF_POSNR_CRM,CHAR,CRM Reference Sales Order Item Number in TPOP Process
EKPO,SPE_CRM_REF_SO,/SPE/REF_VBELN_CRM,CHAR,CRM Reference Order Number for TPOP Process
EKPO,SPE_CRM_SO,/SPE/VBELN_CRM,CHAR,CRM Sales Order Number for TPOP Process
EKPO,SPE_CRM_SO_ITEM,/SPE/POSNR_CRM,NUMC,CRM Sales Order Item Number in TPOP Process
BSEG,POPTS,POPTSATZ,DEC,Real estate option rate
BSEG,POSN2,POSNR_VA,NUMC,Sales Document Item
BSEG,PPA_EX_IND,EXCLUDE_FLG,CHAR,PPA Exclude Indicator
BSEG,PPDIF2,PPDIF2,CURR,Realized Exchange Rate Gain/Loss 2.Loc. Curr.(Part Payments)
BSEG,PPDIF3,PPDIF3,CURR,Realized Exchange Rate Gain/Loss 3.Loc.Curr.(Part Payments)
BSEG,PPDIFF,PPDIFF,CURR,Realized Exchange Rate Gain/Loss 1.Loc.Curr.(Part Payments)
BSEG,PPRCT,PPRCTR,CHAR,Partner Profit Center
BSEG,PRCTR,PRCTR,CHAR,Profit Center
BSEG,PRODPER,JV_PRODPER,DATS,Production Month (Date to find period and year)
BSEG,PROJK,PS_PSP_PNR,NUMC,Work Breakdown Structure Element (WBS Element)
BSEG,PROJN,PROJN,CHAR,Old: Project number : No longer used --> PS_POSNR
BSEG,PRZNR,CO_PRZNR,CHAR,Business Process
BSEG,PSALT,PSALT,CHAR,Alternative Price Control
BSEG,PSEGMENT,FB_PSEGMENT,CHAR,Partner Segment for Segmental Reporting
BSEG,PSWBT,PSWBT,CURR,Amount for Updating in General Ledger
BSEG,PSWSL,PSWSL,CUKY,Update Currency for General Ledger Transaction Figures
BSEG,PYAMT,PYAMT,CURR,Amount in Payment Currency
BSEG,PYCUR,PYCUR,CUKY,Currency for Automatic Payment
BSEG,QBSHB,QBSHB,CURR,Withholding Tax Amount (in Document Currency)
BSEG,QSFBT,QSFBT,CURR,Withholding Tax-Exempt Amount (in Document Currency)
BSEG,QSSHB,QSSHB,CURR,Withholding Tax Base Amount
BSEG,QSSKZ,QSSKZ,CHAR,Withholding Tax Code
BSEG,QSZNR,QSZNR,CHAR,Certificate Number of the Withholding Tax Exemption
BSEG,RDIF2,RDIF2,CURR,Exchange Rate Difference Realized for Second Local Currency
BSEG,RDIF3,RDIF3,CURR,Exchange Rate Difference Realized for Third Local Currency
BSEG,RDIFF,RDIFF,CURR,Exchange Rate Gain/Loss Realized
BSEG,REBZG,REBZG,CHAR,Number of the Invoice the Transaction Belongs to
BSEG,REBZJ,REBZJ,NUMC,Fiscal Year of the Relevant Invoice (for Credit Memo)
BSEG,REBZT,REBZT,CHAR,Follow-On Document Type
BSEG,REBZZ,REBZZ,NUMC,Line Item in the Relevant Invoice
BSEG,RECID,JV_RECIND,CHAR,Recovery Indicator
BSEG,REWRT,REEWR,CURR,Invoice Value Entered (in Local Currency)
BSEG,REWWR,REFWR,CURR,Invoice value in foreign currency
BSEG,RFZEI,RFZEI_CC,NUMC,Payment Card Item
BSEG,RPACQ,RPACQ,NUMC,Period of Acquisition
BSEG,RSTGR,RSTGR,CHAR,Reason Code for Payments
BSEG,RYACQ,RYACQ,CHAR,Year of acquisition
BSEG,SAKNR,SAKNR,CHAR,G/L Account Number
BSEG,SAMNR,SAMNR,NUMC,Invoice List Number
BSEG,SCTAX,SCTAX,CURR,Tax portion FI-CA local currency
BSEG,SECCO,SECCO,CHAR,Section Code
BSEG,SEGMENT,FB_SEGMENT,CHAR,Segment for Segmental Reporting
BSEG,SGTXT,SGTXT,CHAR,Item Text
BSEG,SHKZG,SHKZG,CHAR,Debit/Credit Indicator
BSEG,SHZUZ,SHZUZ,CHAR,Debit/Credit Addition for Cash Discount
BSEG,SKFBT,SKFBT,CURR,Amount Eligible for Cash Discount in Document Currency
BSEG,SKNT2,SKNT2,CURR,Cash Discount Amount in Second Local Currency
BSEG,SKNT3,SKNT3,CURR,Cash Discount Amount in Third Local Currency
BSEG,SKNTO,SKNTO,CURR,Cash discount amount in local currency
BSEG,SPGRC,SPGRC,CHAR,Block.reason: quality
BSEG,SPGRG,SPGRG,CHAR,Blocking reason: order price quantity
BSEG,SPGRM,SPGRM,CHAR,Blocking reason: quantity
BSEG,SPGRP,SPGRP,CHAR,Blocking reason: price
BSEG,SPGRQ,SPGRQ,CHAR,Manual Blocking Reason
BSEG,SPGRS,SPGRS,CHAR,Blocking Reason: Item Amount
BSEG,SPGRT,SPGRT,CHAR,Blocking Reason: Date
BSEG,SPGRV,SPGRV,CHAR,Blocking reason: project budget
BSEG,SRTYPE,FM_SRTYPE,CHAR,Type of Additional Receivable
BSEG,STBUK,STBUK,CHAR,Tax Company Code
BSEG,STCEG,STCEG,CHAR,VAT Registration Number
BSEG,STEKZ,CHAR2,CHAR,Version Number Component
BSEG,STTAX,STTAX,CURR,Tax amount as statistical information in document currency
BSEG,TBTKZ,TBTKZ,CHAR,Indicator: subsequent debit/credit
BSEG,TXBFW,TXBFW,CURR,Original Tax Base Amount in Document Currency
BSEG,TXBH2,TXBH2,CURR,Tax Base/Original Tax Base in Second Local Currency
BSEG,TXBH3,TXBH3,CURR,Tax Base/Original Tax Base in Third Local Currency
BSEG,TXBHW,TXBHW,CURR,Original Tax Base Amount in Local Currency
BSEG,TXDAT,TXDAT,DATS,Date for defining tax rates
BSEG,TXGRP,TXGRP,NUMC,Group Indicator for Tax Line Items
BSEG,TXJCD,TXJCD,CHAR,Tax Jurisdiction
BSEG,UMSKS,UMSKS,CHAR,Special G/L Transaction Type
BSEG,UMSKZ,UMSKZ,CHAR,Special G/L Indicator
BSEG,UZAWE,UZAWE,CHAR,Payment Method Supplement
BSEG,VALUT,VALUT,DATS,Value date
BSEG,VBEL2,VBELN_VA,CHAR,Sales Document
BSEG,VBELN,VBELN_VF,CHAR,Billing Document
BSEG,VBEWA,SBEWART,CHAR,Flow Type
BSEG,VBUND,RASSC,CHAR,Company ID of trading partner
BSEG,VERTN,RANL,CHAR,Contract Number
BSEG,VERTT,RANTYP,CHAR,Contract Type
BSEG,VNAME,JV_NAME,CHAR,Joint Venture
BSEG,VORGN,VORGN,CHAR,Transaction Type for General Ledger
BSEG,VPRSV,VPRSV,CHAR,Price control indicator
BSEG,VPTNR,JV_PART,CHAR,Partner account number
BSEG,VRSDT,VRSDT,DATS,Insurance date
BSEG,VRSKZ,VRSKZ,CHAR,Insurance indicator
BSEG,WERKS,WERKS_D,CHAR,Plant
BSEG,WMWST,WMWST,CURR,Tax amount in document currency
BSEG,WRBT1,WRBTX,CURR,Amount in foreign currency for tax breakdown
BSEG,WRBT2,WRBTX,CURR,Amount in foreign currency for tax breakdown
BSEG,WRBT3,WRBTX,CURR,Amount in foreign currency for tax breakdown
BSEG,WRBTR,WRBTR,CURR,Amount in document currency
BSEG,WSKTO,WSKTO,CURR,Cash discount amount in document currency
BSEG,WVERW,WVERW,CHAR,Bill of exchange usage type
BSEG,XANET,XANET,CHAR,Indicator: Down payment in net procedure ?
BSEG,XAUTO,XAUTO,CHAR,Indicator: Line item automatically created
BSEG,XBILK,XBILK,CHAR,Indicator: Account is a balance sheet account?
BSEG,XCPDD,XCPDD,CHAR,Indicator: Address and bank data set individually
BSEG,XEGDR,XEGDR,CHAR,Indicator: Triangular deal within the EU ?
BSEG,XFAKT,XFAKT,CHAR,Indicator: Billing document update successful ?
BSEG,XHKOM,XHKOM,CHAR,Indicator: G/L account assigned manually ?
BSEG,XHRES,XHRES,CHAR,Indicator: Resident G/L account?
BSEG,XINVE,XINVE,CHAR,Indicator: Capital Goods Affected?
BSEG,XKRES,XKRES,CHAR,Indicator: Can Line Items Be Displayed by Account?
BSEG,XLGCLR,XLGCLR,CHAR,Clearing Specific to Ledger Groups
BSEG,XNCOP,XNCOP,CHAR,Indicator: Items cannot be copied?
BSEG,XNEGP,XNEGP,CHAR,Indicator: Negative posting
BSEG,XOPVW,XOPVW,CHAR,Indicator: Open item management?
BSEG,XPANZ,XPANZ,CHAR,Display item
BSEG,XPYPR,XPYPR,CHAR,Indicator: Payment Order Exists for this Item
BSEG,XRAGL,XRAGL,CHAR,Indicator: Clearing was Reversed
BSEG,XREF1,XREF1,CHAR,Business partner reference key
BSEG,XREF2,XREF2,CHAR,Business partner reference key
BSEG,XREF3,XREF3,CHAR,Reference key for line item
BSEG,XSAUF,XSAUF,CHAR,Indicator: Posting to order is statistical
BSEG,XSERG,XSERG,CHAR,Indicator: Posting to prof.analysis is statistical
BSEG,XSKRL,XSKRL,CHAR,Indicator: Line item not liable to cash discount?
BSEG,XSKST,XSKST,CHAR,Indicator: Statistical posting to cost center
BSEG,XSPRO,XSPRO,CHAR,Indicator: Posting to project is statistical
BSEG,XUMAN,XUMAN,CHAR,Indicator: Transfer posting from down payment ?
BSEG,XUMSW,XUMSW,CHAR,Indicator: Sales-related item ?
BSEG,XZAHL,XZAHL,CHAR,Indicator: Is the posting key used in a payment transaction?
BSEG,ZBD1P,DZBD1P,DEC,Cash Discount Percentage 1
BSEG,ZBD1T,DZBD1T,DEC,Cash discount days 1
BSEG,ZBD2P,DZBD2P,DEC,Cash Discount Percentage 2
BSEG,ZBD2T,DZBD2T,DEC,Cash discount days 2
BSEG,ZBD3T,DZBD3T,DEC,Net Payment Terms Period
BSEG,ZBFIX,DZBFIX,CHAR,Fixed Payment Terms
BSEG,ZEKKN,DZEKKN,NUMC,Sequential Number of Account Assignment
BSEG,ZFBDT,DZFBDT,DATS,Baseline Date for Due Date Calculation
BSEG,ZINKZ,DZINKZ,CHAR,Exempted from interest calculation
BSEG,ZLSCH,SCHZW_BSEG,CHAR,Payment Method
BSEG,ZLSPR,DZLSPR,CHAR,Payment Block Key
BSEG,ZOLLD,DZOLLD,DATS,Customs Date
BSEG,ZOLLT,DZOLLT,CHAR,Customs Tariff Number
BSEG,ZTERM,DZTERM,CHAR,Terms of Payment Key
BSEG,ZUMSK,DZUMSK,CHAR,Target Special G/L Indicator
BSEG,ZUONR,DZUONR,CHAR,Assignment Number
BSEG,ZZBUSPARTN,ZZBUSPARTN,CHAR,Business partner
BSEG,ZZCHAN,ZZCHAN,CHAR,Distribution channel
BSEG,ZZLOB,ZZLOB,CHAR,BUSINESS LINE
BSEG,ZZLOCA,ZZLOCA,CHAR,City
BSEG,ZZPRODUCT,ZZPRODUCT,CHAR,Product group
BSEG,ZZREGION,ZZREGION,CHAR,Location
BSEG,ZZSPREG,ZREGION,CHAR,Special Region
BSEG,ZZSTATE,ZZSTATE,CHAR,State/Province Code
BSEG,ZZUSERFLD1,ZZUSERFLD1,CHAR,Territory
BSEG,ZZUSERFLD2,ZZUSERFLD2,CHAR,Owner/Cont.
BSEG,ZZUSERFLD3,ZZUSERFLD3,CHAR,Vein
CSSL,AUSEH,AUSEH,UNIT,Output Unit
CSSL,AUSFK,AUSFK,DEC,Output factor
CSSL,CCKEY,CCKEY,CHAR,Cost collector key
CSSL,GJAHR,GJAHR,NUMC,Fiscal Year
CSSL,KOKRS,KOKRS,CHAR,Controlling Area
CSSL,KOSTL,KOSTL,CHAR,Cost Center
CSSL,LATYP,LATYP,CHAR,Activity Type Category
CSSL,LATYPI,LATYPI,CHAR,Variant Activity Type Category for Actual Postings
CSSL,LEINH,LEINH,UNIT,Activity Unit
CSSL,LSTAR,LSTAR,CHAR,Activity Type
CSSL,MANDT,MANDT,CLNT,Client
CSSL,OBJNR,J_OBJNR,CHAR,Object number
EQKT,EQKTU,EQKTU,CHAR,Equipment description in capital letters
EQKT,EQKTX,KTX01,CHAR,Description of technical object
EQKT,EQUNR,EQUNR,CHAR,Equipment Number
EQKT,KZLTX,KZLTA,CHAR,Long Text Indicator
EQKT,MANDT,MANDT,CLNT,Client
EQKT,SPRAS,SPRAS,LANG,Language Key
EQKT,TXASP,KZMLA,CHAR,Primary language indicator for text segment
EREV,.INCLUDE, , ,
EREV,BANPR,BANPR_OLD,CHAR,Old processing state in purchasing document before version
EREV,BSTYP,BSTYP_DCM,CHAR,Purchasing Document Category
EREV,BUDAT,DCM_BUDAT,DATS,Posting date of version
EREV,CRNAM,DCM_AFNAM,CHAR,Person requesting change
EREV,DIFWR,DCM_DIFWR,CURR,Value change due to version
EREV,EDOKN,EDOKN,CHAR,Object Number in Purchasing
EREV,EDOKP,EDOKP,NUMC,Purchasing object: item
EREV,ERDAT,ERDAT,DATS,Date on Which Record Was Created
EREV,ERNAM,ERNAM,CHAR,Name of Person who Created the Object
EREV,ERUHR,ERZET,TIMS,Entry time
EREV,EXTNR,DCM_EXTNR,CHAR,External Change Number of Version
BSEGC,.INCLUDE, , ,
BSEGC,.INCLUDE, , ,
BSEGC,AUDAT,AUDAT_CC,DATS,Payment cards: Authorization date
BSEGC,AUNUM,AUNUM,CHAR,Payment cards: Authorization number
BSEGC,AUTIM,AUTIM,TIMS,Payment cards: Authorization time
BSEGC,AUTRA,AUTRA,CHAR,Payment cards: Authoriz. reference code of clearing house
BSEGC,AUTWR,AUTWR,CURR,Payment cards: Authorized amount
BSEGC,BELNR,BELNR_D,CHAR,Accounting Document Number
BSEGC,BUKRS,BUKRS,CHAR,Company Code
BSEGC,CCARD_GUID,CCARDEC_GUID,CHAR,Reference to Encrypted Payment Card Data
BSEGC,CCBTC,CCBTC,CHAR,Payment cards: Settlement run
BSEGC,CCFOL,CCFOL,CHAR,Payment cards: Payment card suffix
BSEGC,CCINS,CCINS,CHAR,Payment cards: Card type
BSEGC,CCNAME,CCNAME,CHAR,Payment cards: Name of cardholder
BSEGC,CCNUM,CCNUM,CHAR,Payment cards: Card number
BSEGC,CCTYP,CCTYP,CHAR,Payment cards: Card category
BSEGC,CCWAE,WAERS,CUKY,Currency Key
BSEGC,CSOUR,CSOUR,CHAR,Payment cards: Entry mode
BSEGC,DATAB,DATAB_CC,DATS,Payment cards: Valid from
BSEGC,DATBI,DATBI_CC,DATS,Payment Cards: Valid To
BSEGC,GJAHR,GJAHR,NUMC,Fiscal Year
BSEGC,KUNNR,KUNNR,CHAR,Customer Number 1
BSEGC,LOCID,LOCID_CC,CHAR,Payment cards: Point of receipt for the transaction
BSEGC,MANDT,MANDT,CLNT,Client
BSEGC,MERCH,MERCH,CHAR,Payment cards: Merchant ID at the clearing house
BSEGC,OPBEL,OPBEL_CC,CHAR,Payment Cards: Document Number of Reopened Receivable
BSEGC,RCAVA,RCAVA_CC,CHAR,Payment Cards: Result of Address Check (Address Approval)
BSEGC,RCAVR,RCAVR_CC,CHAR,Payment Cards: Result of Address Check (Address Result)
BSEGC,RCAVZ,RCAVZ_CC,CHAR,Payment Cards: Result of Address Check (ZIP Code Result)
BSEGC,RCRSP,RCRSP_CC,CHAR,Payment cards: Result of card check (response code)
BSEGC,REACT,REACT_CC,CHAR,Payment Cards: Response to Settlement Result
BSEGC,RFZEI,RFZEI_CC,NUMC,Payment Card Item
BSEGC,RTEXT,RTEXT_CC,CHAR,Payment cards: Result text
BSEGC,SETRA,SETRA_CC,CHAR,Payment Cards: Settlement Reference No. of Clearing House
BSEGC,SETTL,SETTL,CHAR,Payment cards: Settlement carried out
BSEGC,TRMID,TRMID,CHAR,Payment cards: Terminal
FAGLFLEXT,.INCLUDE, , ,
FAGLFLEXT,.INCLUDE, , ,
FAGLFLEXT,.INCLUDE, , ,
FAGLFLEXT,.INCLUDE, , ,
FAGLFLEXT,.INCLUDE, , ,
FAGLFLEXT,.INCLUDE, , ,
FAGLFLEXT,.INCLUDE, , ,
FAGLFLEXT,.INCLUDE, , ,
FAGLFLEXT,.INCLUDE, , ,
FAGLFLEXT,.INCLUDE, , ,
FAGLFLEXT,.INCLUDE, , ,
FAGLFLEXT,.INCLUDE, , ,
FAGLFLEXT,.INCLUDE, , ,
FAGLFLEXT,.INCLUDE, , ,
FAGLFLEXT,.INCLUDE, , ,
FAGLFLEXT,.INCLUDE, , ,
FAGLFLEXT,.INCLUDE, , ,
FAGLFLEXT,.INCLUDE, , ,
FAGLFLEXT,.INCLUDE, , ,
FAGLFLEXT,ACTIV,ACTI1,CHAR,FI-SL Business Transaction
FAGLFLEXT,AWTYP,AWTYP,CHAR,Reference Transaction
FAGLFLEXT,COST_ELEM,KSTAR,CHAR,Cost Element
FAGLFLEXT,DRCRK,SHKZG,CHAR,Debit/Credit Indicator
FAGLFLEXT,HSL01,HSLXX12,CURR,Total of transactions of the period in local currency
FAGLFLEXT,HSL02,HSLXX12,CURR,Total of transactions of the period in local currency
FAGLFLEXT,HSL03,HSLXX12,CURR,Total of transactions of the period in local currency
FAGLFLEXT,HSL04,HSLXX12,CURR,Total of transactions of the period in local currency
FAGLFLEXT,HSL05,HSLXX12,CURR,Total of transactions of the period in local currency
FAGLFLEXT,HSL06,HSLXX12,CURR,Total of transactions of the period in local currency
FAGLFLEXT,HSL07,HSLXX12,CURR,Total of transactions of the period in local currency
FAGLFLEXT,HSL08,HSLXX12,CURR,Total of transactions of the period in local currency
FAGLFLEXT,HSL09,HSLXX12,CURR,Total of transactions of the period in local currency
FAGLFLEXT,HSL10,HSLXX12,CURR,Total of transactions of the period in local currency
FAGLFLEXT,HSL11,HSLXX12,CURR,Total of transactions of the period in local currency
FAGLFLEXT,HSL12,HSLXX12,CURR,Total of transactions of the period in local currency
FAGLFLEXT,HSL13,HSLXX12,CURR,Total of transactions of the period in local currency
FAGLFLEXT,HSL14,HSLXX12,CURR,Total of transactions of the period in local currency
FAGLFLEXT,HSL15,HSLXX12,CURR,Total of transactions of the period in local currency
FAGLFLEXT,HSL16,HSLXX12,CURR,Total of transactions of the period in local currency
FAGLFLEXT,HSLVT,HSLVT12,CURR,Balance carried forward in local currency
FAGLFLEXT,KOKRS,KOKRS,CHAR,Controlling Area
FAGLFLEXT,KSL01,KSLXX12,CURR,Total of transactions of the period in group currency
FAGLFLEXT,KSL02,KSLXX12,CURR,Total of transactions of the period in group currency
FAGLFLEXT,KSL03,KSLXX12,CURR,Total of transactions of the period in group currency
FAGLFLEXT,KSL04,KSLXX12,CURR,Total of transactions of the period in group currency
FAGLFLEXT,KSL05,KSLXX12,CURR,Total of transactions of the period in group currency
FAGLFLEXT,KSL06,KSLXX12,CURR,Total of transactions of the period in group currency
FAGLFLEXT,KSL07,KSLXX12,CURR,Total of transactions of the period in group currency
FAGLFLEXT,KSL08,KSLXX12,CURR,Total of transactions of the period in group currency
FAGLFLEXT,KSL09,KSLXX12,CURR,Total of transactions of the period in group currency
FAGLFLEXT,KSL10,KSLXX12,CURR,Total of transactions of the period in group currency
FAGLFLEXT,KSL11,KSLXX12,CURR,Total of transactions of the period in group currency
FAGLFLEXT,KSL12,KSLXX12,CURR,Total of transactions of the period in group currency
FAGLFLEXT,KSL13,KSLXX12,CURR,Total of transactions of the period in group currency
FAGLFLEXT,KSL14,KSLXX12,CURR,Total of transactions of the period in group currency
FAGLFLEXT,KSL15,KSLXX12,CURR,Total of transactions of the period in group currency
FAGLFLEXT,KSL16,KSLXX12,CURR,Total of transactions of the period in group currency
FAGLFLEXT,KSLVT,KSLXX12,CURR,Total of transactions of the period in group currency
FAGLFLEXT,LOGSYS,LOGSYS,CHAR,Logical system
FAGLFLEXT,MSL01,MSLXX12,QUAN,Total of the transactions of period in units of measure
FAGLFLEXT,MSL02,MSLXX12,QUAN,Total of the transactions of period in units of measure
FAGLFLEXT,MSL03,MSLXX12,QUAN,Total of the transactions of period in units of measure
FAGLFLEXT,MSL04,MSLXX12,QUAN,Total of the transactions of period in units of measure
FAGLFLEXT,MSL05,MSLXX12,QUAN,Total of the transactions of period in units of measure
FAGLFLEXT,MSL06,MSLXX12,QUAN,Total of the transactions of period in units of measure
FAGLFLEXT,MSL07,MSLXX12,QUAN,Total of the transactions of period in units of measure
FAGLFLEXT,MSL08,MSLXX12,QUAN,Total of the transactions of period in units of measure
